"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"85423111","具有变流功能的半导体模块","110","中国香港","31","上海市","38264394","个","347218","千克","491,061,740",
"85423111","具有变流功能的半导体模块","111","印度","31","上海市","4774","个","9","千克","19,585",
"85423111","具有变流功能的半导体模块","112","印度尼西亚","31","上海市","2","个","2","千克","3,780",
"85423111","具有变流功能的半导体模块","115","以色列","31","上海市","20","个","0","千克","181",
"85423111","具有变流功能的半导体模块","116","日本","31","上海市","2549293","个","22193","千克","31,685,334",
"85423111","具有变流功能的半导体模块","122","马来西亚","31","上海市","98059","个","55","千克","1,029,355",
"85423111","具有变流功能的半导体模块","129","菲律宾","31","上海市","26935","个","222","千克","308,852",
"85423111","具有变流功能的半导体模块","132","新加坡","31","上海市","6021385","个","55281","千克","78,086,522",
"85423111","具有变流功能的半导体模块","133","韩国","31","上海市","702530","个","6754","千克","10,016,547",
"85423111","具有变流功能的半导体模块","136","泰国","31","上海市","12968","个","305","千克","332,516",
"85423111","具有变流功能的半导体模块","137","土耳其","31","上海市","206","个","1","千克","1,764",
"85423111","具有变流功能的半导体模块","138","阿联酋","31","上海市","16","个","40","千克","19,072",
"85423111","具有变流功能的半导体模块","141","越南","31","上海市","1296","个","11","千克","17,337",
"85423111","具有变流功能的半导体模块","143","中国台湾","31","上海市","12911","个","318","千克","167,086",
"85423111","具有变流功能的半导体模块","303","英国","31","上海市","31405","个","7","千克","31,361",
"85423111","具有变流功能的半导体模块","304","德国","31","上海市","1870189","个","16781","千克","23,908,325",
"85423111","具有变流功能的半导体模块","309","荷兰","31","上海市","15","个","4","千克","14,766",
"85423111","具有变流功能的半导体模块","327","波兰","31","上海市","503207","个","112","千克","581,243",
"85423111","具有变流功能的半导体模块","340","白俄罗斯","31","上海市","7","个","1248","千克","6,012,917",
"85423111","具有变流功能的半导体模块","347","乌克兰","31","上海市","10","个","0","千克","88",
"85423111","具有变流功能的半导体模块","413","哥伦比亚","31","上海市","4","个","35","千克","239",
"85423111","具有变流功能的半导体模块","429","墨西哥","31","上海市","10","个","0","千克","91",
"85423111","具有变流功能的半导体模块","501","加拿大","31","上海市","10","个","0","千克","91",
"85423111","具有变流功能的半导体模块","502","美国","31","上海市","975988","个","7684","千克","11,696,405",
"85423111","具有变流功能的半导体模块","601","澳大利亚","31","上海市","37","个","64","千克","288,574",
"85423119","其他用作处理器及控制器的多元件集成电路","106","缅甸","31","上海市","2","个","0","千克","6,758",
"85423119","其他用作处理器及控制器的多元件集成电路","107","柬埔寨","31","上海市","14","个","3","千克","33,845",
"85423119","其他用作处理器及控制器的多元件集成电路","110","中国香港","31","上海市","56272490","个","21053","千克","251,869,402",
"85423119","其他用作处理器及控制器的多元件集成电路","111","印度","31","上海市","7","个","4","千克","13,017",
"85423119","其他用作处理器及控制器的多元件集成电路","112","印度尼西亚","31","上海市","103","个","23","千克","329,846",
"85423119","其他用作处理器及控制器的多元件集成电路","115","以色列","31","上海市","1497","个","0","千克","29,936",
"85423119","其他用作处理器及控制器的多元件集成电路","116","日本","31","上海市","769","个","100","千克","180,722",
"85423119","其他用作处理器及控制器的多元件集成电路","122","马来西亚","31","上海市","3186","个","3","千克","179",
"85423119","其他用作处理器及控制器的多元件集成电路","127","巴基斯坦","31","上海市","7201","个","323","千克","399,365",
