"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"85423111","具有变流功能的半导体模块","110","中国香港","31","上海市","2","个","0","千克","6,887",
"85423111","具有变流功能的半导体模块","111","印度","31","上海市","1010","个","1","千克","18,082",
"85423111","具有变流功能的半导体模块","112","印度尼西亚","31","上海市","15279","个","21","千克","122,358",
"85423111","具有变流功能的半导体模块","116","日本","31","上海市","960712","个","3367","千克","10,109,069",
"85423111","具有变流功能的半导体模块","122","马来西亚","31","上海市","167216","个","544","千克","16,331,949",
"85423111","具有变流功能的半导体模块","129","菲律宾","31","上海市","2512920","个","1268","千克","25,421,618",
"85423111","具有变流功能的半导体模块","132","新加坡","31","上海市","19580","个","15","千克","98,859",
"85423111","具有变流功能的半导体模块","133","韩国","31","上海市","147152","个","126","千克","3,561,964",
"85423111","具有变流功能的半导体模块","136","泰国","31","上海市","385097","个","79","千克","3,265,412",
"85423111","具有变流功能的半导体模块","141","越南","31","上海市","173997","个","1594","千克","43,235,496",
"85423111","具有变流功能的半导体模块","142","中国","31","上海市","4060830","个","27559","千克","98,339,959",
"85423111","具有变流功能的半导体模块","143","中国台湾","31","上海市","711525","个","940","千克","13,602,924",
"85423111","具有变流功能的半导体模块","232","摩洛哥","31","上海市","12514","个","2","千克","10,621",
"85423111","具有变流功能的半导体模块","304","德国","31","上海市","98108","个","31","千克","172,667",
"85423111","具有变流功能的半导体模块","305","法国","31","上海市","104","个","32","千克","1,564,900",
"85423111","具有变流功能的半导体模块","307","意大利","31","上海市","13","个","16","千克","13,962",
"85423111","具有变流功能的半导体模块","324","马耳他","31","上海市","2425","个","4","千克","105,710",
"85423111","具有变流功能的半导体模块","330","瑞典","31","上海市","330","个","2","千克","159,181",
"85423111","具有变流功能的半导体模块","415","哥斯达黎加","31","上海市","2297","个","20","千克","935,714",
"85423111","具有变流功能的半导体模块","502","美国","31","上海市","2045","个","6","千克","412,442",
"85423119","其他用作处理器及控制器的多元件集成电路","108","塞浦路斯","31","上海市","10","个","0","千克","980",
"85423119","其他用作处理器及控制器的多元件集成电路","110","中国香港","31","上海市","143","个","0","千克","298",
"85423119","其他用作处理器及控制器的多元件集成电路","111","印度","31","上海市","172","个","0","千克","1,919",
"85423119","其他用作处理器及控制器的多元件集成电路","112","印度尼西亚","31","上海市","104891","个","75","千克","899,858",
"85423119","其他用作处理器及控制器的多元件集成电路","115","以色列","31","上海市","47575","个","105","千克","3,351,529",
"85423119","其他用作处理器及控制器的多元件集成电路","116","日本","31","上海市","990185","个","2769","千克","8,033,836",
"85423119","其他用作处理器及控制器的多元件集成电路","122","马来西亚","31","上海市","20467779","个","5225","千克","67,829,171",
"85423119","其他用作处理器及控制器的多元件集成电路","129","菲律宾","31","上海市","3185810","个","8400","千克","33,622,194",
"85423119","其他用作处理器及控制器的多元件集成电路","132","新加坡","31","上海市","7916966","个","135","千克","41,651,853",
"85423119","其他用作处理器及控制器的多元件集成电路","133","韩国","31","上海市","72992717","个","21590","千克","2,282,602,447",
"85423119","其他用作处理器及控制器的多元件集成电路","136","泰国","31","上海市","2175182","个","631","千克","12,485,401",
"85423119","其他用作处理器及控制器的多元件集成电路","138","阿联酋","31","上海市","510","个","1","千克","8,064",
"85423119","其他用作处理器及控制器的多元件集成电路","141","越南","31","上海市","2736","个","0","千克","4,381",
"85423119","其他用作处理器及控制器的多元件集成电路","142","中国","31","上海市","38511747","个","7754","千克","94,435,055",
"85423119","其他用作处理器及控制器的多元件集成电路","143","中国台湾","31","上海市","5335174","个","9387","千克","342,266,874",
"85423119","其他用作处理器及控制器的多元件集成电路","206","喀麦隆","31","上海市","27","个","1","千克","45,254",
"85423119","其他用作处理器及控制器的多元件集成电路","232","摩洛哥","31","上海市","25468","个","6","千克","107,252",
"85423119","其他用作处理器及控制器的多元件集成电路","301","比利时","31","上海市","100","个","32","千克","95,356",
"85423119","其他用作处理器及控制器的多元件集成电路","303","英国","31","上海市","3178","个","2","千克","28,336",
"85423119","其他用作处理器及控制器的多元件集成电路","304","德国","31","上海市","51021","个","1956","千克","4,394,608",
"85423119","其他用作处理器及控制器的多元件集成电路","305","法国","31","上海市","1293","个","9","千克","551,842",
"85423119","其他用作处理器及控制器的多元件集成电路","306","爱尔兰","31","上海市","13930","个","0","千克","223,144",
"85423119","其他用作处理器及控制器的多元件集成电路","307","意大利","31","上海市","8449","个","232","千克","428,319",
"85423119","其他用作处理器及控制器的多元件集成电路","309","荷兰","31","上海市","18790","个","16","千克","336,532",
"85423119","其他用作处理器及控制器的多元件集成电路","315","奥地利","31","上海市","6363","个","12","千克","131,212",
"85423119","其他用作处理器及控制器的多元件集成电路","316","保加利亚","31","上海市","2","个","0","千克","372",
"85423119","其他用作处理器及控制器的多元件集成电路","318","芬兰","31","上海市","58","个","1","千克","9,793",
"85423119","其他用作处理器及控制器的多元件集成电路","321","匈牙利","31","上海市","27856","个","3827","千克","4,244,143",
"85423119","其他用作处理器及控制器的多元件集成电路","324","马耳他","31","上海市","25935","个","19","千克","962,724",
"85423119","其他用作处理器及控制器的多元件集成电路","326","挪威","31","上海市","505","个","1","千克","30,248",
"85423119","其他用作处理器及控制器的多元件集成电路","327","波兰","31","上海市","61","个","52","千克","134,241",
"85423119","其他用作处理器及控制器的多元件集成电路","330","瑞典","31","上海市","7","个","6","千克","264,747",
"85423119","其他用作处理器及控制器的多元件集成电路","331","瑞士","31","上海市","6907","个","5","千克","55,300",
"85423119","其他用作处理器及控制器的多元件集成电路","340","白俄罗斯","31","上海市","22","个","0","千克","19",
"85423119","其他用作处理器及控制器的多元件集成电路","350","斯洛文尼亚","31","上海市","1088","个","62","千克","314,988",
"85423119","其他用作处理器及控制器的多元件集成电路","429","墨西哥","31","上海市","36841","个","15","千克","103,687",
"85423119","其他用作处理器及控制器的多元件集成电路","430","蒙特塞拉特","31","上海市","44","个","0","千克","50",
"85423119","其他用作处理器及控制器的多元件集成电路","501","加拿大","31","上海市","1916","个","9","千克","192,692",
"85423119","其他用作处理器及控制器的多元件集成电路","502","美国","31","上海市","658935","个","302","千克","11,271,490",
"85423119","其他用作处理器及控制器的多元件集成电路","601","澳大利亚","31","上海市","1019","个","0","千克","2,968",
"85423190","其他用作处理器及控制器的集成电路","106","缅甸","31","上海市","2003","个","6","千克","6,785",
"85423190","其他用作处理器及控制器的集成电路","108","塞浦路斯","31","上海市","120","个","0","千克","270",
"85423190","其他用作处理器及控制器的集成电路","110","中国香港","31","上海市","2892357","个","787","千克","5,515,903",
"85423190","其他用作处理器及控制器的集成电路","111","印度","31","上海市","2327609","个","302","千克","2,008,619",
"85423190","其他用作处理器及控制器的集成电路","112","印度尼西亚","31","上海市","16617685","个","22376","千克","94,767,800",
"85423190","其他用作处理器及控制器的集成电路","115","以色列","31","上海市","359888932","个","18085","千克","573,038,829",
"85423190","其他用作处理器及控制器的集成电路","116","日本","31","上海市","1893860974","个","236009","千克","2,947,684,531",
"85423190","其他用作处理器及控制器的集成电路","122","马来西亚","31","上海市","1943144300","个","518504","千克","24,861,652,096",
"85423190","其他用作处理器及控制器的集成电路","129","菲律宾","31","上海市","1733951268","个","195844","千克","3,022,373,904",
"85423190","其他用作处理器及控制器的集成电路","132","新加坡","31","上海市","1779695600","个","54147","千克","5,470,165,497",
"85423190","其他用作处理器及控制器的集成电路","133","韩国","31","上海市","2969729103","个","121695","千克","6,523,912,472",
"85423190","其他用作处理器及控制器的集成电路","134","斯里兰卡","31","上海市","62","个","3","千克","18,118",
"85423190","其他用作处理器及控制器的集成电路","136","泰国","31","上海市","1064661622","个","114575","千克","1,394,428,354",
"85423190","其他用作处理器及控制器的集成电路","137","土耳其","31","上海市","3000","个","1","千克","7,639",
"85423190","其他用作处理器及控制器的集成电路","141","越南","31","上海市","150468174","个","240756","千克","22,248,320,275",
"85423190","其他用作处理器及控制器的集成电路","142","中国","31","上海市","1265753061","个","256130","千克","4,414,620,063",
