"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"87024010","仅装有驱动电动机的大型客车，30座及以上","115","以色列","31","上海市","21","辆","282930","千克","41,013,810",
"87024010","仅装有驱动电动机的大型客车，30座及以上","215","埃及","31","上海市","2","辆","20000","千克","2,035,890",
"87024010","仅装有驱动电动机的大型客车，30座及以上","236","尼日利亚","31","上海市","5","辆","7390","千克","424,967",
"87024010","仅装有驱动电动机的大型客车，30座及以上","429","墨西哥","31","上海市","2","辆","23200","千克","2,637,996",
"87024020","仅装有驱动电动机的机动客车，20≤座≤29","429","墨西哥","31","上海市","1","辆","8150","千克","1,016,802",
"87024030","仅装有驱动电动机的机动客车，10≤座≤19","116","日本","31","上海市","15","辆","96000","千克","15,502,719",
"87024030","仅装有驱动电动机的机动客车，10≤座≤19","410","巴西","31","上海市","1","辆","6170","千克","281,118",
"87034021","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，1000cc＜排量≤1500cc，不可接插外部电源充电","116","日本","31","上海市","3","辆","4910","千克","521,533",
"87034021","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，1000cc＜排量≤1500cc，不可接插外部电源充电","138","阿联酋","31","上海市","2","辆","3320","千克","237,827",
"87034023","同时装有点燃式活塞内燃发动机及驱动电动机的小客车（9座及以下），1000cc＜排量≤1500cc，不可接插外部电源充电","116","日本","31","上海市","1","辆","1785","千克","181,073",
"87034023","同时装有点燃式活塞内燃发动机及驱动电动机的小客车（9座及以下），1000cc＜排量≤1500cc，不可接插外部电源充电","136","泰国","31","上海市","2","辆","2900","千克","297,612",
"87034023","同时装有点燃式活塞内燃发动机及驱动电动机的小客车（9座及以下），1000cc＜排量≤1500cc，不可接插外部电源充电","502","美国","31","上海市","1","辆","2300","千克","399,038",
"87034031","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，1500cc＜排量≤2000cc，不可接插外部电源充电","116","日本","31","上海市","3","辆","4812","千克","654,967",
"87034031","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，1500cc＜排量≤2000cc，不可接插外部电源充电","138","阿联酋","31","上海市","9","辆","13005","千克","1,135,281",
"87034031","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，1500cc＜排量≤2000cc，不可接插外部电源充电","502","美国","31","上海市","1","辆","1651","千克","175,733",
"87034033","同时装有点燃式活塞内燃发动机及驱动电动机的小客车（9座及以下），1500cc＜排量≤2000cc，不可接插外部电源充电","502","美国","31","上海市","25","辆","52708","千克","37,558,159",
"87034041","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，2000cc＜排量≤2500cc，不可接插外部电源充电","116","日本","31","上海市","1","辆","1695","千克","339,116",
"87034041","同时装有点燃式活塞内燃发动机及驱动电动机的小轿车，2000cc＜排量≤2500cc，不可接插外部电源充电","138","阿联酋","31","上海市","53","辆","88465","千克","11,429,492",
"87038000","仅装有驱动电动机的主要用于载人的机动车","110","中国香港","31","上海市","13188","辆","26295793","千克","2,731,057,510",
"87038000","仅装有驱动电动机的主要用于载人的机动车","111","印度","31","上海市","60","辆","88527","千克","9,314,446",
"87038000","仅装有驱动电动机的主要用于载人的机动车","112","印度尼西亚","31","上海市","4","辆","1060","千克","70,600",
"87038000","仅装有驱动电动机的主要用于载人的机动车","115","以色列","31","上海市","7797","辆","13671085","千克","1,746,504,413",
"87038000","仅装有驱动电动机的主要用于载人的机动车","116","日本","31","上海市","5930","辆","11052184","千克","1,288,032,292",
"87038000","仅装有驱动电动机的主要用于载人的机动车","117","约旦","31","上海市","2416","辆","4637005","千克","408,837,386",
"87038000","仅装有驱动电动机的主要用于载人的机动车","119","老挝","31","上海市","30","辆","53247","千克","4,886,860",
"87038000","仅装有驱动电动机的主要用于载人的机动车","120","黎巴嫩","31","上海市","6","辆","10620","千克","1,201,170",
"87038000","仅装有驱动电动机的主要用于载人的机动车","121","中国澳门","31","上海市","1","辆","2030","千克","214,468",
"87038000","仅装有驱动电动机的主要用于载人的机动车","122","马来西亚","31","上海市","10","辆","15342","千克","1,327,433",
"87038000","仅装有驱动电动机的主要用于载人的机动车","124","蒙古","31","上海市","10","辆","9500","千克","585,410",
"87038000","仅装有驱动电动机的主要用于载人的机动车","125","尼泊尔","31","上海市","4","辆","6160","千克","600,400",
"87038000","仅装有驱动电动机的主要用于载人的机动车","127","巴基斯坦","31","上海市","7","辆","10955","千克","1,004,661",
"87038000","仅装有驱动电动机的主要用于载人的机动车","129","菲律宾","31","上海市","2137","辆","418950","千克","12,544,821",
"87038000","仅装有驱动电动机的主要用于载人的机动车","132","新加坡","31","上海市","1292","辆","1658327","千克","167,462,902",
"87038000","仅装有驱动电动机的主要用于载人的机动车","133","韩国","31","上海市","202","辆","44329","千克","2,735,337",
"87038000","仅装有驱动电动机的主要用于载人的机动车","134","斯里兰卡","31","上海市","2","辆","965","千克","48,900",
"87038000","仅装有驱动电动机的主要用于载人的机动车","136","泰国","31","上海市","5042","辆","5137579","千克","395,712,399",
"87038000","仅装有驱动电动机的主要用于载人的机动车","137","土耳其","31","上海市","15","辆","19080","千克","1,719,129",
"87038000","仅装有驱动电动机的主要用于载人的机动车","138","阿联酋","31","上海市","14049","辆","27294891","千克","3,140,021,468",
"87038000","仅装有驱动电动机的主要用于载人的机动车","141","越南","31","上海市","1","辆","1347","千克","71,105",
"87038000","仅装有驱动电动机的主要用于载人的机动车","145","哈萨克斯坦","31","上海市","23","辆","51235","千克","6,121,415",
"87038000","仅装有驱动电动机的主要用于载人的机动车","146","吉尔吉斯斯坦","31","上海市","78","辆","173636","千克","28,642,466",
"87038000","仅装有驱动电动机的主要用于载人的机动车","147","塔吉克斯坦","31","上海市","8","辆","16960","千克","1,429,328",
"87038000","仅装有驱动电动机的主要用于载人的机动车","149","乌兹别克斯坦","31","上海市","99","辆","200450","千克","18,758,393",
"87038000","仅装有驱动电动机的主要用于载人的机动车","214","吉布提","31","上海市","10","辆","17123","千克","1,547,010",
"87038000","仅装有驱动电动机的主要用于载人的机动车","215","埃及","31","上海市","4","辆","7968","千克","757,260",
"87038000","仅装有驱动电动机的主要用于载人的机动车","223","科特迪瓦","31","上海市","1","辆","1810","千克","240,574",
"87038000","仅装有驱动电动机的主要用于载人的机动车","231","毛里求斯","31","上海市","5","辆","7300","千克","759,895",
"87038000","仅装有驱动电动机的主要用于载人的机动车","237","留尼汪","31","上海市","10","辆","17700","千克","1,692,097",
"87038000","仅装有驱动电动机的主要用于载人的机动车","241","塞舌尔","31","上海市","10","辆","14600","千克","1,552,758",
"87038000","仅装有驱动电动机的主要用于载人的机动车","247","坦桑尼亚","31","上海市","3","辆","4215","千克","369,035",
"87038000","仅装有驱动电动机的主要用于载人的机动车","252","刚果民主共和国","31","上海市","30","辆","24250","千克","1,217,607",
"87038000","仅装有驱动电动机的主要用于载人的机动车","253","赞比亚","31","上海市","1","辆","830","千克","69,730",
"87038000","仅装有驱动电动机的主要用于载人的机动车","301","比利时","31","上海市","115437","辆","209186133","千克","23,237,954,783",
"87038000","仅装有驱动电动机的主要用于载人的机动车","302","丹麦","31","上海市","211","辆","373470","千克","39,481,675",
"87038000","仅装有驱动电动机的主要用于载人的机动车","303","英国","31","上海市","74413","辆","137893136","千克","17,554,475,469",
"87038000","仅装有驱动电动机的主要用于载人的机动车","304","德国","31","上海市","206","辆","404056","千克","43,792,974",
"87038000","仅装有驱动电动机的主要用于载人的机动车","305","法国","31","上海市","571","辆","801069","千克","68,752,780",
"87038000","仅装有驱动电动机的主要用于载人的机动车","307","意大利","31","上海市","3838","辆","2671790","千克","193,276,129",
"87038000","仅装有驱动电动机的主要用于载人的机动车","309","荷兰","31","上海市","701","辆","1230920","千克","137,092,867",
"87038000","仅装有驱动电动机的主要用于载人的机动车","310","希腊","31","上海市","96","辆","178779","千克","14,384,598",
"87038000","仅装有驱动电动机的主要用于载人的机动车","311","葡萄牙","31","上海市","49","辆","86930","千克","9,278,618",
"87038000","仅装有驱动电动机的主要用于载人的机动车","312","西班牙","31","上海市","38366","辆","70463347","千克","10,995,793,130",
"87038000","仅装有驱动电动机的主要用于载人的机动车","315","奥地利","31","上海市","3","辆","8100","千克","1,080,900",
"87038000","仅装有驱动电动机的主要用于载人的机动车","326","挪威","31","上海市","2072","辆","3795399","千克","372,319,192",
"87038000","仅装有驱动电动机的主要用于载人的机动车","327","波兰","31","上海市","3","辆","7800","千克","566,183",
"87038000","仅装有驱动电动机的主要用于载人的机动车","328","罗马尼亚","31","上海市","1","辆","2254","千克","204,559",
"87038000","仅装有驱动电动机的主要用于载人的机动车","330","瑞典","31","上海市","39","辆","67592","千克","7,758,521",
"87038000","仅装有驱动电动机的主要用于载人的机动车","331","瑞士","31","上海市","9","辆","15930","千克","1,689,218",
"87038000","仅装有驱动电动机的主要用于载人的机动车","338","亚美尼亚(2023年起停用)","31","上海市","36","辆","60120","千克","6,071,522",
"87038000","仅装有驱动电动机的主要用于载人的机动车","340","白俄罗斯","31","上海市","52","辆","109108","千克","12,716,080",
"87038000","仅装有驱动电动机的主要用于载人的机动车","343","摩尔多瓦","31","上海市","2","辆","3220","千克","298,247",
"87038000","仅装有驱动电动机的主要用于载人的机动车","344","俄罗斯","31","上海市","15","辆","29679","千克","3,459,599",
"87038000","仅装有驱动电动机的主要用于载人的机动车","347","乌克兰","31","上海市","336","辆","599274","千克","53,838,056",
"87038000","仅装有驱动电动机的主要用于载人的机动车","350","斯洛文尼亚","31","上海市","37473","辆","71361083","千克","9,283,511,543",
"87038000","仅装有驱动电动机的主要用于载人的机动车","403","阿鲁巴","31","上海市","20","辆","33400","千克","3,515,303",
"87038000","仅装有驱动电动机的主要用于载人的机动车","405","巴巴多斯","31","上海市","52","辆","79680","千克","7,717,527",
"87038000","仅装有驱动电动机的主要用于载人的机动车","408","玻利维亚","31","上海市","1","辆","1810","千克","112,805",
"87038000","仅装有驱动电动机的主要用于载人的机动车","410","巴西","31","上海市","2","辆","3540","千克","368,784",
"87038000","仅装有驱动电动机的主要用于载人的机动车","412","智利","31","上海市","150","辆","276125","千克","27,598,645",
"87038000","仅装有驱动电动机的主要用于载人的机动车","413","哥伦比亚","31","上海市","22","辆","39820","千克","4,705,668",
"87038000","仅装有驱动电动机的主要用于载人的机动车","415","哥斯达黎加","31","上海市","50","辆","88493","千克","10,438,805",
"87038000","仅装有驱动电动机的主要用于载人的机动车","418","多米尼加","31","上海市","2","辆","2770","千克","241,959",
"87038000","仅装有驱动电动机的主要用于载人的机动车","419","厄瓜多尔","31","上海市","21","辆","38985","千克","4,713,361",
"87038000","仅装有驱动电动机的主要用于载人的机动车","423","危地马拉","31","上海市","14","辆","25860","千克","2,896,713",
"87038000","仅装有驱动电动机的主要用于载人的机动车","432","巴拿马","31","上海市","3","辆","5645","千克","649,453",
"87038000","仅装有驱动电动机的主要用于载人的机动车","434","秘鲁","31","上海市","2","辆","3640","千克","333,798",
"87038000","仅装有驱动电动机的主要用于载人的机动车","437","圣卢西亚","31","上海市","1","辆","3260","千克","204,053",
"87038000","仅装有驱动电动机的主要用于载人的机动车","444","乌拉圭","31","上海市","32","辆","23380","千克","2,251,048",
"87038000","仅装有驱动电动机的主要用于载人的机动车","502","美国","31","上海市","145","辆","284523","千克","124,197,294",
"87038000","仅装有驱动电动机的主要用于载人的机动车","601","澳大利亚","31","上海市","26498","辆","48959065","千克","5,352,536,824",
"87038000","仅装有驱动电动机的主要用于载人的机动车","607","新喀里多尼亚","31","上海市","6","辆","9110","千克","1,001,749",
"87038000","仅装有驱动电动机的主要用于载人的机动车","609","新西兰","31","上海市","7833","辆","14981965","千克","1,473,563,840",
"87038000","仅装有驱动电动机的主要用于载人的机动车","623","法属波利尼西亚","31","上海市","3","辆","5430","千克","725,809",
