"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","人民币",
"870240","仅装有驱动电动机的车辆","116","日本","31","上海市","5,134,609",
"870240","仅装有驱动电动机的车辆","410","巴西","31","上海市","1,254,982",
"870240","仅装有驱动电动机的车辆","444","乌拉圭","31","上海市","1,218,080",
"870340","同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外","138","阿联酋","31","上海市","13,970,910",
"870340","同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外","145","哈萨克斯坦","31","上海市","416,166",
"870340","同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外","146","吉尔吉斯斯坦","31","上海市","410,666",
"870340","同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外","152","阿塞拜疆(2023年起)","31","上海市","13,852,300",
"870340","同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外","350","斯洛文尼亚","31","上海市","896,940",
"870340","同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外","502","美国","31","上海市","617,287",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","102","巴林","31","上海市","292,877",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","117","约旦","31","上海市","22,949,904",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","118","科威特","31","上海市","436,979",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","120","黎巴嫩","31","上海市","729,856",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","126","阿曼","31","上海市","728,689",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","136","泰国","31","上海市","3,360,768",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","137","土耳其","31","上海市","3,952,132",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","138","阿联酋","31","上海市","7,615,819",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","145","哈萨克斯坦","31","上海市","245,514",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","146","吉尔吉斯斯坦","31","上海市","5,575,453",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","152","阿塞拜疆(2023年起)","31","上海市","966,958",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","231","毛里求斯","31","上海市","2,460,785",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","232","摩洛哥","31","上海市","2,103,664",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","249","突尼斯","31","上海市","7,718,797",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","301","比利时","31","上海市","79,810,321",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","303","英国","31","上海市","107,485,915",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","304","德国","31","上海市","442,185",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","307","意大利","31","上海市","68,176,648",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","310","希腊","31","上海市","22,093,499",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","312","西班牙","31","上海市","159,302,851",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","330","瑞典","31","上海市","89,930",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","340","白俄罗斯","31","上海市","1,514,285",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","344","俄罗斯","31","上海市","60,000",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","350","斯洛文尼亚","31","上海市","14,674,878",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","429","墨西哥","31","上海市","33,213,975",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","442","特立尼达和多巴哥","31","上海市","23,758,780",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","601","澳大利亚","31","上海市","136,258,682",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","603","斐济","31","上海市","1,205,680",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","609","新西兰","31","上海市","4,625,340",
"870360","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电","623","法属波利尼西亚","31","上海市","1,267,115",
"870380","仅装有驱动电动机的主要用于载人的机动车","102","巴林","31","上海市","235,000",
"870380","仅装有驱动电动机的主要用于载人的机动车","106","缅甸","31","上海市","22,913,339",
"870380","仅装有驱动电动机的主要用于载人的机动车","107","柬埔寨","31","上海市","17,905,152",
"870380","仅装有驱动电动机的主要用于载人的机动车","110","中国香港","31","上海市","1,035,942,024",
"870380","仅装有驱动电动机的主要用于载人的机动车","111","印度","31","上海市","5,265,540",
"870380","仅装有驱动电动机的主要用于载人的机动车","112","印度尼西亚","31","上海市","400,680",
