"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","102","巴林","31","上海市","8","台","4","千克","8,038",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","103","孟加拉国","31","上海市","2273","台","120","千克","20,221",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","105","文莱","31","上海市","9","台","11","千克","13,391",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","106","缅甸","31","上海市","3","台","0","千克","416",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","107","柬埔寨","31","上海市","27","台","12","千克","17,002",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","108","塞浦路斯","31","上海市","1","台","16","千克","485",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","110","中国香港","31","上海市","114065","台","312944","千克","806,170,526",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","111","印度","31","上海市","335106","台","992545","千克","2,141,965,842",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","112","印度尼西亚","31","上海市","166795","台","309627","千克","239,388,903",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","114","伊拉克","31","上海市","14","台","18","千克","2,406",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","115","以色列","31","上海市","19751","台","43975","千克","65,847,988",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","116","日本","31","上海市","1136409","台","2874601","千克","5,543,247,752",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","117","约旦","31","上海市","4","台","24","千克","5,801",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","118","科威特","31","上海市","11","台","7","千克","28,327",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","119","老挝","31","上海市","3","台","8","千克","33,343",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","122","马来西亚","31","上海市","10601","台","32027","千克","73,278,843",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","123","马尔代夫","31","上海市","8","台","1","千克","56",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","125","尼泊尔","31","上海市","1","台","1","千克","3,306",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","126","阿曼","31","上海市","1109","台","3236","千克","3,433,024",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","127","巴基斯坦","31","上海市","59","台","21","千克","6,925",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","129","菲律宾","31","上海市","7739","台","11247","千克","20,239,481",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","130","卡塔尔","31","上海市","50","台","4","千克","5,324",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","131","沙特阿拉伯","31","上海市","24809","台","64371","千克","143,398,281",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","132","新加坡","31","上海市","290817","台","772602","千克","1,946,484,332",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","133","韩国","31","上海市","145477","台","441320","千克","1,170,422,670",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","134","斯里兰卡","31","上海市","4","台","2","千克","8,046",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","136","泰国","31","上海市","30470","台","85388","千克","208,875,884",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","137","土耳其","31","上海市","132125","台","385059","千克","835,156,542",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","138","阿联酋","31","上海市","229492","台","629857","千克","1,126,194,122",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","139","也门","31","上海市","2","台","1","千克","71",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","141","越南","31","上海市","52147","台","92164","千克","224,236,350",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","143","中国台湾","31","上海市","113517","台","252545","千克","617,985,691",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","145","哈萨克斯坦","31","上海市","2","台","8","千克","5,498",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","149","乌兹别克斯坦","31","上海市","3","台","3","千克","9,965",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","150","格鲁吉亚(2023年起)","31","上海市","5","台","5","千克","16,206",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","151","亚美尼亚(2023年起)","31","上海市","1","台","1","千克","3,664",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","201","阿尔及利亚","31","上海市","3","台","4","千克","2,195",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","202","安哥拉","31","上海市","3","台","2","千克","5,769",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","208","佛得角","31","上海市","1","台","5","千克","11,548",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","213","刚果共和国","31","上海市","1","台","45","千克","4,091",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","215","埃及","31","上海市","28","台","85","千克","3,445",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","217","埃塞俄比亚","31","上海市","8","台","31","千克","4,443",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","218","加蓬","31","上海市","80","台","19","千克","3,273",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","220","加纳","31","上海市","4","台","2","千克","3,282",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","221","几内亚","31","上海市","2","台","21","千克","135",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","224","肯尼亚","31","上海市","24","台","35","千克","132,409",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","225","利比里亚","31","上海市","130","台","343","千克","627,012",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","227","马达加斯加","31","上海市","33","台","26","千克","1,360",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","229","马里","31","上海市","1","台","0","千克","72",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","230","毛里塔尼亚","31","上海市","3","台","67","千克","2,152",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","231","毛里求斯","31","上海市","1","台","1","千克","3,664",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","234","纳米比亚","31","上海市","1","台","16","千克","2,044",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","236","尼日利亚","31","上海市","3","台","5","千克","4,818",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","237","留尼汪","31","上海市","2","台","2","千克","7,439",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","238","卢旺达","31","上海市","2","台","6","千克","13,761",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","240","塞内加尔","31","上海市","2","台","11","千克","21,458",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","241","塞舌尔","31","上海市","1","台","0","千克","108",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","244","南非","31","上海市","79267","台","190286","千克","221,232,015",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","247","坦桑尼亚","31","上海市","1","台","10","千克","718",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","248","多哥","31","上海市","1","台","6","千克","244",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","251","布基纳法索","31","上海市","10","台","30","千克","26,888",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","252","刚果民主共和国","31","上海市","445","台","1138","千克","5,753,225",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","301","比利时","31","上海市","131","台","87","千克","47,921",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","302","丹麦","31","上海市","31","台","33","千克","33,922",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","303","英国","31","上海市","357006","台","1071738","千克","2,502,226,936",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","304","德国","31","上海市","216883","台","689607","千克","1,834,379,519",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","305","法国","31","上海市","10167","台","18330","千克","32,140,879",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","306","爱尔兰","31","上海市","370","台","971","千克","3,906,606",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","307","意大利","31","上海市","220442","台","678300","千克","1,532,285,449",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","309","荷兰","31","上海市","710416","台","2156613","千克","5,069,435,616",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","310","希腊","31","上海市","239047","台","575717","千克","745,441,198",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","311","葡萄牙","31","上海市","41","台","89","千克","121,718",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","312","西班牙","31","上海市","3939","台","8738","千克","11,214,379",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","315","奥地利","31","上海市","53","台","33","千克","41,023",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","316","保加利亚","31","上海市","18","台","31","千克","11,818",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","318","芬兰","31","上海市","85","台","27","千克","19,521",
