"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"85076000","锂离子蓄电池","102","巴林","31","上海市","271","个","1696","千克","196,115",
"85076000","锂离子蓄电池","103","孟加拉国","31","上海市","9063","个","783","千克","109,192",
"85076000","锂离子蓄电池","106","缅甸","31","上海市","18","个","488","千克","68,203",
"85076000","锂离子蓄电池","108","塞浦路斯","31","上海市","188","个","2078","千克","367,156",
"85076000","锂离子蓄电池","110","中国香港","31","上海市","50319792","个","273860","千克","102,959,175",
"85076000","锂离子蓄电池","111","印度","31","上海市","1533675","个","3909555","千克","454,430,011",
"85076000","锂离子蓄电池","112","印度尼西亚","31","上海市","12729","个","173051","千克","20,655,307",
"85076000","锂离子蓄电池","114","伊拉克","31","上海市","40","个","2516","千克","674,336",
"85076000","锂离子蓄电池","115","以色列","31","上海市","8762","个","8118","千克","2,119,171",
"85076000","锂离子蓄电池","116","日本","31","上海市","3084187","个","21818021","千克","5,473,915,961",
"85076000","锂离子蓄电池","117","约旦","31","上海市","29","个","128","千克","47,254",
"85076000","锂离子蓄电池","118","科威特","31","上海市","150","个","14","千克","16,613",
"85076000","锂离子蓄电池","119","老挝","31","上海市","696","个","28112","千克","6,914,765",
"85076000","锂离子蓄电池","120","黎巴嫩","31","上海市","1232","个","60198","千克","11,263,421",
"85076000","锂离子蓄电池","121","中国澳门","31","上海市","2","个","108","千克","48,332",
"85076000","锂离子蓄电池","122","马来西亚","31","上海市","23549","个","763586","千克","108,937,886",
"85076000","锂离子蓄电池","123","马尔代夫","31","上海市","34","个","620","千克","300,767",
"85076000","锂离子蓄电池","124","蒙古","31","上海市","148","个","93","千克","38,624",
"85076000","锂离子蓄电池","125","尼泊尔","31","上海市","57","个","327","千克","166,406",
"85076000","锂离子蓄电池","126","阿曼","31","上海市","1150","个","7194","千克","1,654,556",
"85076000","锂离子蓄电池","127","巴基斯坦","31","上海市","2397","个","87852","千克","14,218,627",
"85076000","锂离子蓄电池","129","菲律宾","31","上海市","3378","个","106048","千克","13,759,499",
"85076000","锂离子蓄电池","131","沙特阿拉伯","31","上海市","5355","个","244134","千克","30,555,141",
"85076000","锂离子蓄电池","132","新加坡","31","上海市","228745","个","129167","千克","27,582,584",
"85076000","锂离子蓄电池","133","韩国","31","上海市","1191726","个","225550","千克","53,094,976",
