商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
850760,锂离子蓄电池,103,孟加拉国,31,上海市,"179,475"
850760,锂离子蓄电池,106,缅甸,31,上海市,"3,471,330"
850760,锂离子蓄电池,108,塞浦路斯,31,上海市,"7,941"
850760,锂离子蓄电池,110,中国香港,31,上海市,"49,783,974"
850760,锂离子蓄电池,111,印度,31,上海市,"1,393,982,100"
850760,锂离子蓄电池,112,印度尼西亚,31,上海市,"206,229,808"
850760,锂离子蓄电池,114,伊拉克,31,上海市,"651,823"
850760,锂离子蓄电池,115,以色列,31,上海市,"124,576,101"
850760,锂离子蓄电池,116,日本,31,上海市,"2,706,590,820"
850760,锂离子蓄电池,117,约旦,31,上海市,"87,821"
850760,锂离子蓄电池,118,科威特,31,上海市,"13,308"
850760,锂离子蓄电池,119,老挝,31,上海市,"2,996,500"
850760,锂离子蓄电池,120,黎巴嫩,31,上海市,"8,250,649"
850760,锂离子蓄电池,122,马来西亚,31,上海市,"63,689,657"
850760,锂离子蓄电池,124,蒙古,31,上海市,"330,069"
850760,锂离子蓄电池,125,尼泊尔,31,上海市,"2,424,871"
850760,锂离子蓄电池,126,阿曼,31,上海市,"5,034,998"
850760,锂离子蓄电池,127,巴基斯坦,31,上海市,"13,619,789"
850760,锂离子蓄电池,129,菲律宾,31,上海市,"7,745,289"
850760,锂离子蓄电池,130,卡塔尔,31,上海市,"21,309"
850760,锂离子蓄电池,131,沙特阿拉伯,31,上海市,"28,890,558"
850760,锂离子蓄电池,132,新加坡,31,上海市,"32,333,853"
850760,锂离子蓄电池,133,韩国,31,上海市,"31,640,490"
850760,锂离子蓄电池,134,斯里兰卡,31,上海市,"33,845"
850760,锂离子蓄电池,136,泰国,31,上海市,"296,477,859"
850760,锂离子蓄电池,137,土耳其,31,上海市,"16,688,569"
850760,锂离子蓄电池,138,阿联酋,31,上海市,"12,578,394"
850760,锂离子蓄电池,139,也门,31,上海市,"4,339,326"
850760,锂离子蓄电池,141,越南,31,上海市,"98,693,339"
850760,锂离子蓄电池,143,中国台湾,31,上海市,"116,082,790"
850760,锂离子蓄电池,145,哈萨克斯坦,31,上海市,"375,900"
850760,锂离子蓄电池,146,吉尔吉斯斯坦,31,上海市,"22,322"
850760,锂离子蓄电池,149,乌兹别克斯坦,31,上海市,"6,500,770"
850760,锂离子蓄电池,201,阿尔及利亚,31,上海市,"2,075,513"
850760,锂离子蓄电池,203,贝宁,31,上海市,"597,644"
850760,锂离子蓄电池,206,喀麦隆,31,上海市,"247,331"
850760,锂离子蓄电池,209,中非,31,上海市,"753,412"
850760,锂离子蓄电池,212,科摩罗,31,上海市,"11,829,937"
850760,锂离子蓄电池,215,埃及,31,上海市,"3,037,156"
850760,锂离子蓄电池,217,埃塞俄比亚,31,上海市,"1,621,167"
850760,锂离子蓄电池,220,加纳,31,上海市,"3,937,640"
850760,锂离子蓄电池,221,几内亚,31,上海市,"51,732"
850760,锂离子蓄电池,224,肯尼亚,31,上海市,"1,421,010"
850760,锂离子蓄电池,225,利比里亚,31,上海市,"104,323"
850760,锂离子蓄电池,227,马达加斯加,31,上海市,"1,721,875"
850760,锂离子蓄电池,228,马拉维,31,上海市,"214,859"
850760,锂离子蓄电池,229,马里,31,上海市,"3,036,638"
850760,锂离子蓄电池,231,毛里求斯,31,上海市,"189,637"
850760,锂离子蓄电池,232,摩洛哥,31,上海市,"687,533"
850760,锂离子蓄电池,233,莫桑比克,31,上海市,"2,716,729"
850760,锂离子蓄电池,236,尼日利亚,31,上海市,"15,323,094"
850760,锂离子蓄电池,240,塞内加尔,31,上海市,"215,057"
850760,锂离子蓄电池,242,塞拉利昂,31,上海市,"1,252,016"
850760,锂离子蓄电池,244,南非,31,上海市,"69,146,515"
850760,锂离子蓄电池,247,坦桑尼亚,31,上海市,"3,928,996"
850760,锂离子蓄电池,248,多哥,31,上海市,"71,140"
850760,锂离子蓄电池,249,突尼斯,31,上海市,"370,334"
850760,锂离子蓄电池,250,乌干达,31,上海市,"1,300,291"
850760,锂离子蓄电池,252,刚果民主共和国,31,上海市,"326,330"
850760,锂离子蓄电池,253,赞比亚,31,上海市,"467,885"
850760,锂离子蓄电池,254,津巴布韦,31,上海市,"3,699,683"
850760,锂离子蓄电池,260,南苏丹,31,上海市,"1,728,064"
850760,锂离子蓄电池,301,比利时,31,上海市,"28,897,603"
850760,锂离子蓄电池,302,丹麦,31,上海市,"1,511,251"
850760,锂离子蓄电池,303,英国,31,上海市,"585,352,467"
850760,锂离子蓄电池,304,德国,31,上海市,"7,901,842,849"
850760,锂离子蓄电池,305,法国,31,上海市,"80,705,734"
850760,锂离子蓄电池,306,爱尔兰,31,上海市,"4,746,116"
850760,锂离子蓄电池,307,意大利,31,上海市,"95,078,608"
850760,锂离子蓄电池,309,荷兰,31,上海市,"1,063,316,170"
850760,锂离子蓄电池,310,希腊,31,上海市,"21,329"
850760,锂离子蓄电池,311,葡萄牙,31,上海市,"4,050,112"
850760,锂离子蓄电池,312,西班牙,31,上海市,"138,748,909"
850760,锂离子蓄电池,315,奥地利,31,上海市,"41,590,068"
850760,锂离子蓄电池,316,保加利亚,31,上海市,"17,955,100"
850760,锂离子蓄电池,318,芬兰,31,上海市,"1,153,687"
850760,锂离子蓄电池,321,匈牙利,31,上海市,"6,867,871"
850760,锂离子蓄电池,326,挪威,31,上海市,"1,222,817"
850760,锂离子蓄电池,327,波兰,31,上海市,"27,057,107"
850760,锂离子蓄电池,328,罗马尼亚,31,上海市,"2,770,258"
850760,锂离子蓄电池,330,瑞典,31,上海市,"50,882,544"
850760,锂离子蓄电池,331,瑞士,31,上海市,"7,288,118"
850760,锂离子蓄电池,334,爱沙尼亚,31,上海市,"329,754"
850760,锂离子蓄电池,336,立陶宛,31,上海市,"6,769,579"
850760,锂离子蓄电池,343,摩尔多瓦,31,上海市,"43,602"
850760,锂离子蓄电池,344,俄罗斯,31,上海市,"56,210,306"
850760,锂离子蓄电池,347,乌克兰,31,上海市,"1,064,001"
850760,锂离子蓄电池,350,斯洛文尼亚,31,上海市,"9,264,190"
850760,锂离子蓄电池,352,捷克,31,上海市,"6,030,853"
850760,锂离子蓄电池,353,斯洛伐克,31,上海市,"108,666,320"
850760,锂离子蓄电池,358,塞尔维亚,31,上海市,"100,363,844"
850760,锂离子蓄电池,402,阿根廷,31,上海市,"121,661,175"
850760,锂离子蓄电池,404,巴哈马,31,上海市,"84,991"
850760,锂离子蓄电池,410,巴西,31,上海市,"4,168,859"
850760,锂离子蓄电池,412,智利,31,上海市,"4,799,851"
850760,锂离子蓄电池,413,哥伦比亚,31,上海市,"3,618,254"
850760,锂离子蓄电池,415,哥斯达黎加,31,上海市,"1,393,982"
850760,锂离子蓄电池,416,古巴,31,上海市,957
850760,锂离子蓄电池,417,库拉索,31,上海市,"12,639"
850760,锂离子蓄电池,418,多米尼加,31,上海市,"3,403,720"
850760,锂离子蓄电池,419,厄瓜多尔,31,上海市,"76,460"
850760,锂离子蓄电池,423,危地马拉,31,上海市,"61,818"
850760,锂离子蓄电池,426,洪都拉斯,31,上海市,"3,847"
