商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
854231,处理器及控制器,102,巴林,31,上海市,"87,075"
854231,处理器及控制器,107,柬埔寨,31,上海市,"52,230"
854231,处理器及控制器,110,中国香港,31,上海市,"21,975,938,195"
854231,处理器及控制器,111,印度,31,上海市,"620,372,117"
854231,处理器及控制器,112,印度尼西亚,31,上海市,"98,657,281"
854231,处理器及控制器,115,以色列,31,上海市,"5,764,789"
854231,处理器及控制器,116,日本,31,上海市,"4,465,668,108"
854231,处理器及控制器,119,老挝,31,上海市,"4,120"
854231,处理器及控制器,121,中国澳门,31,上海市,"11,364"
854231,处理器及控制器,122,马来西亚,31,上海市,"614,491,226"
854231,处理器及控制器,127,巴基斯坦,31,上海市,"41,557"
854231,处理器及控制器,129,菲律宾,31,上海市,"267,048,978"
854231,处理器及控制器,131,沙特阿拉伯,31,上海市,"81,026"
854231,处理器及控制器,132,新加坡,31,上海市,"2,312,180,240"
854231,处理器及控制器,133,韩国,31,上海市,"1,689,782,088"
854231,处理器及控制器,134,斯里兰卡,31,上海市,"799,692"
854231,处理器及控制器,136,泰国,31,上海市,"946,852,286"
854231,处理器及控制器,137,土耳其,31,上海市,"14,844,860"
854231,处理器及控制器,138,阿联酋,31,上海市,"924,231"
854231,处理器及控制器,141,越南,31,上海市,"1,564,532,497"
854231,处理器及控制器,143,中国台湾,31,上海市,"3,957,028,575"
854231,处理器及控制器,145,哈萨克斯坦,31,上海市,580
854231,处理器及控制器,215,埃及,31,上海市,"2,596,602"
854231,处理器及控制器,232,摩洛哥,31,上海市,"4,116"
854231,处理器及控制器,236,尼日利亚,31,上海市,"2,149"
854231,处理器及控制器,240,塞内加尔,31,上海市,"6,652"
854231,处理器及控制器,244,南非,31,上海市,"2,652,766"
854231,处理器及控制器,249,突尼斯,31,上海市,"7,301,171"
854231,处理器及控制器,253,赞比亚,31,上海市,787
854231,处理器及控制器,301,比利时,31,上海市,"177,183,666"
854231,处理器及控制器,302,丹麦,31,上海市,"204,747"
854231,处理器及控制器,303,英国,31,上海市,"10,416,402"
854231,处理器及控制器,304,德国,31,上海市,"2,454,947,107"
854231,处理器及控制器,305,法国,31,上海市,"21,778,491"
854231,处理器及控制器,306,爱尔兰,31,上海市,"38,852,920"
854231,处理器及控制器,307,意大利,31,上海市,"36,165,709"
854231,处理器及控制器,309,荷兰,31,上海市,"207,437,191"
854231,处理器及控制器,311,葡萄牙,31,上海市,"78,673,778"
854231,处理器及控制器,312,西班牙,31,上海市,"129,405,465"
854231,处理器及控制器,315,奥地利,31,上海市,"5,462,919"
854231,处理器及控制器,316,保加利亚,31,上海市,"144,594"
854231,处理器及控制器,318,芬兰,31,上海市,"3,104,329"
854231,处理器及控制器,321,匈牙利,31,上海市,"42,517,832"
854231,处理器及控制器,326,挪威,31,上海市,"476,200"
854231,处理器及控制器,327,波兰,31,上海市,"51,434,512"
854231,处理器及控制器,328,罗马尼亚,31,上海市,"21,738,994"
854231,处理器及控制器,330,瑞典,31,上海市,"1,580,577"
854231,处理器及控制器,331,瑞士,31,上海市,"9,593,500"
854231,处理器及控制器,334,爱沙尼亚,31,上海市,"190,869"
854231,处理器及控制器,336,立陶宛,31,上海市,"3,020,284"
854231,处理器及控制器,344,俄罗斯,31,上海市,"8,632,488"
854231,处理器及控制器,347,乌克兰,31,上海市,"602,423"
854231,处理器及控制器,352,捷克,31,上海市,"20,978,342"
854231,处理器及控制器,353,斯洛伐克,31,上海市,"385,192"
854231,处理器及控制器,354,北马其顿,31,上海市,"10,210,372"
854231,处理器及控制器,358,塞尔维亚,31,上海市,"663,104"
854231,处理器及控制器,410,巴西,31,上海市,"84,111,676"
854231,处理器及控制器,412,智利,31,上海市,"30,146"
854231,处理器及控制器,415,哥斯达黎加,31,上海市,"3,593,952"
854231,处理器及控制器,419,厄瓜多尔,31,上海市,"72,636"
854231,处理器及控制器,426,洪都拉斯,31,上海市,"118,087"
854231,处理器及控制器,427,牙买加,31,上海市,228
854231,处理器及控制器,429,墨西哥,31,上海市,"773,913,435"
854231,处理器及控制器,501,加拿大,31,上海市,"140,706,557"
854231,处理器及控制器,502,美国,31,上海市,"1,976,363,043"
854231,处理器及控制器,601,澳大利亚,31,上海市,"6,119,356"
854232,存储器,110,中国香港,31,上海市,"7,044,100,727"
854232,存储器,111,印度,31,上海市,"255,258,463"
854232,存储器,112,印度尼西亚,31,上海市,"27,242,834"
854232,存储器,115,以色列,31,上海市,"4,323,298"
854232,存储器,116,日本,31,上海市,"537,048,819"
854232,存储器,122,马来西亚,31,上海市,"3,661,939,077"
854232,存储器,129,菲律宾,31,上海市,"537,007,475"
854232,存储器,132,新加坡,31,上海市,"374,292,900"
854232,存储器,133,韩国,31,上海市,"1,920,347,816"
854232,存储器,136,泰国,31,上海市,"763,322,041"
854232,存储器,137,土耳其,31,上海市,"1,482,059"
854232,存储器,138,阿联酋,31,上海市,"1,102,943"
854232,存储器,141,越南,31,上海市,"1,487,093,767"
854232,存储器,143,中国台湾,31,上海市,"16,016,643,429"
854232,存储器,215,埃及,31,上海市,"1,334,440"
854232,存储器,232,摩洛哥,31,上海市,"84,271"
854232,存储器,244,南非,31,上海市,"66,997"
854232,存储器,301,比利时,31,上海市,"21,867,631"
854232,存储器,303,英国,31,上海市,"302,088"
854232,存储器,304,德国,31,上海市,"252,418,302"
854232,存储器,305,法国,31,上海市,"55,975,696"
854232,存储器,307,意大利,31,上海市,"392,162"
854232,存储器,309,荷兰,31,上海市,"95,396,543"
854232,存储器,311,葡萄牙,31,上海市,"777,023"
854232,存储器,312,西班牙,31,上海市,"536,199"
854232,存储器,315,奥地利,31,上海市,"16,028"
854232,存储器,318,芬兰,31,上海市,"489,223"
854232,存储器,321,匈牙利,31,上海市,"607,362"
854232,存储器,327,波兰,31,上海市,"13,888,589"
854232,存储器,328,罗马尼亚,31,上海市,"228,234"
854232,存储器,329,圣马力诺,31,上海市,"82,169"
854232,存储器,330,瑞典,31,上海市,"50,978"
854232,存储器,331,瑞士,31,上海市,"2,306,376"
854232,存储器,344,俄罗斯,31,上海市,"5,586,023"
854232,存储器,352,捷克,31,上海市,"1,012,920"
854232,存储器,353,斯洛伐克,31,上海市,"383,440"
854232,存储器,402,阿根廷,31,上海市,"38,426"
854232,存储器,410,巴西,31,上海市,"5,798,364"
854232,存储器,418,多米尼加,31,上海市,"27,510"
854232,存储器,429,墨西哥,31,上海市,"44,145,909"
854232,存储器,501,加拿大,31,上海市,"534,404"
854232,存储器,502,美国,31,上海市,"222,594,075"
854232,存储器,601,澳大利亚,31,上海市,"307,915"
854232,存储器,609,新西兰,31,上海市,653
854233,放大器,110,中国香港,31,上海市,"756,254,047"
854233,放大器,111,印度,31,上海市,"19,967,955"
854233,放大器,112,印度尼西亚,31,上海市,"3,147,794"
854233,放大器,115,以色列,31,上海市,"2,843,191"
854233,放大器,116,日本,31,上海市,"62,385,939"
854233,放大器,122,马来西亚,31,上海市,"109,143,129"
854233,放大器,127,巴基斯坦,31,上海市,"197,559"
854233,放大器,129,菲律宾,31,上海市,"3,092,618"
854233,放大器,132,新加坡,31,上海市,"37,190,001"
854233,放大器,133,韩国,31,上海市,"31,828,002"
854233,放大器,136,泰国,31,上海市,"29,032,886"
854233,放大器,137,土耳其,31,上海市,"191,235"
854233,放大器,138,阿联酋,31,上海市,"207,951"
854233,放大器,141,越南,31,上海市,"34,858,139"
854233,放大器,143,中国台湾,31,上海市,"25,490,836"
854233,放大器,215,埃及,31,上海市,"8,289"
854233,放大器,232,摩洛哥,31,上海市,"57,314"
854233,放大器,244,南非,31,上海市,"3,480,338"
854233,放大器,249,突尼斯,31,上海市,"1,106,744"
854233,放大器,301,比利时,31,上海市,"68,624"
854233,放大器,302,丹麦,31,上海市,"41,185"
854233,放大器,303,英国,31,上海市,"868,303"
854233,放大器,304,德国,31,上海市,"9,729,964"
854233,放大器,305,法国,31,上海市,"219,107"
854233,放大器,307,意大利,31,上海市,"1,262,882"
854233,放大器,309,荷兰,31,上海市,"128,150,594"
854233,放大器,311,葡萄牙,31,上海市,"68,838"
854233,放大器,312,西班牙,31,上海市,"620,215"
854233,放大器,315,奥地利,31,上海市,"490,126"
854233,放大器,316,保加利亚,31,上海市,"73,662"
854233,放大器,318,芬兰,31,上海市,"37,438"
854233,放大器,321,匈牙利,31,上海市,"4,837,634"
854233,放大器,326,挪威,31,上海市,"16,782"
854233,放大器,327,波兰,31,上海市,"1,528,664"
854233,放大器,328,罗马尼亚,31,上海市,"4,383,708"
854233,放大器,330,瑞典,31,上海市,"2,701,861"
854233,放大器,331,瑞士,31,上海市,"2,460,294"
854233,放大器,334,爱沙尼亚,31,上海市,"106,760"
854233,放大器,336,立陶宛,31,上海市,"447,375"
854233,放大器,340,白俄罗斯,31,上海市,"24,242"
854233,放大器,344,俄罗斯,31,上海市,"3,146,560"
854233,放大器,350,斯洛文尼亚,31,上海市,"61,118"
854233,放大器,352,捷克,31,上海市,"714,559"
854233,放大器,354,北马其顿,31,上海市,"243,762"
854233,放大器,358,塞尔维亚,31,上海市,"7,117"
854233,放大器,410,巴西,31,上海市,"4,286,634"
854233,放大器,415,哥斯达黎加,31,上海市,"200,908"
854233,放大器,429,墨西哥,31,上海市,"50,352,064"
854233,放大器,501,加拿大,31,上海市,"4,243,962"
854233,放大器,502,美国,31,上海市,"67,179,502"
854233,放大器,601,澳大利亚,31,上海市,"4,480"
854233,放大器,609,新西兰,31,上海市,"190,570"
854239,其他集成电路,103,孟加拉国,31,上海市,"648,352"
854239,其他集成电路,110,中国香港,31,上海市,"12,687,932,345"
854239,其他集成电路,111,印度,31,上海市,"441,247,736"
854239,其他集成电路,112,印度尼西亚,31,上海市,"32,591,436"
854239,其他集成电路,113,伊朗,31,上海市,"85,563,791"
854239,其他集成电路,114,伊拉克,31,上海市,"16,356"
854239,其他集成电路,115,以色列,31,上海市,"9,826,585"
854239,其他集成电路,116,日本,31,上海市,"1,050,327,501"
854239,其他集成电路,120,黎巴嫩,31,上海市,669
854239,其他集成电路,121,中国澳门,31,上海市,"3,540,306"
854239,其他集成电路,122,马来西亚,31,上海市,"524,262,419"
854239,其他集成电路,126,阿曼,31,上海市,"1,364"
854239,其他集成电路,127,巴基斯坦,31,上海市,"765,279"
854239,其他集成电路,129,菲律宾,31,上海市,"49,899,423"
854239,其他集成电路,130,卡塔尔,31,上海市,"1,516"
854239,其他集成电路,132,新加坡,31,上海市,"1,223,245,434"
854239,其他集成电路,133,韩国,31,上海市,"2,158,172,508"
854239,其他集成电路,134,斯里兰卡,31,上海市,"10,424,988"
854239,其他集成电路,136,泰国,31,上海市,"364,431,236"
854239,其他集成电路,137,土耳其,31,上海市,"23,096,660"
854239,其他集成电路,138,阿联酋,31,上海市,"899,788"
854239,其他集成电路,141,越南,31,上海市,"678,147,089"
854239,其他集成电路,143,中国台湾,31,上海市,"4,034,310,329"
854239,其他集成电路,150,格鲁吉亚(2023年起),31,上海市,"279,906"
854239,其他集成电路,151,亚美尼亚(2023年起),31,上海市,"42,958"
854239,其他集成电路,152,阿塞拜疆(2023年起),31,上海市,"2,770"
854239,其他集成电路,215,埃及,31,上海市,"2,534,784"
854239,其他集成电路,220,加纳,31,上海市,"214,867"
854239,其他集成电路,232,摩洛哥,31,上海市,"723,556"
854239,其他集成电路,236,尼日利亚,31,上海市,"17,858"
854239,其他集成电路,244,南非,31,上海市,"3,585,390"
854239,其他集成电路,249,突尼斯,31,上海市,"2,303,551"
854239,其他集成电路,301,比利时,31,上海市,"8,396,669"
854239,其他集成电路,302,丹麦,31,上海市,"2,408,268"
854239,其他集成电路,303,英国,31,上海市,"143,637,898"
854239,其他集成电路,304,德国,31,上海市,"366,980,839"
854239,其他集成电路,305,法国,31,上海市,"7,627,779"
854239,其他集成电路,306,爱尔兰,31,上海市,"31,809,531"
854239,其他集成电路,307,意大利,31,上海市,"5,844,297"
854239,其他集成电路,308,卢森堡,31,上海市,"456,189"
854239,其他集成电路,309,荷兰,31,上海市,"648,071,304"
854239,其他集成电路,310,希腊,31,上海市,"49,561"
854239,其他集成电路,311,葡萄牙,31,上海市,"1,879,412"
854239,其他集成电路,312,西班牙,31,上海市,"13,198,119"
854239,其他集成电路,315,奥地利,31,上海市,"7,989,732"
854239,其他集成电路,316,保加利亚,31,上海市,"6,446,559"
854239,其他集成电路,318,芬兰,31,上海市,"366,787"
854239,其他集成电路,321,匈牙利,31,上海市,"65,416,485"
854239,其他集成电路,322,冰岛,31,上海市,"2,251"
854239,其他集成电路,324,马耳他,31,上海市,"42,924"
854239,其他集成电路,326,挪威,31,上海市,"78,341"
854239,其他集成电路,327,波兰,31,上海市,"16,638,292"
854239,其他集成电路,328,罗马尼亚,31,上海市,"74,701,368"
854239,其他集成电路,330,瑞典,31,上海市,"12,908,565"
854239,其他集成电路,331,瑞士,31,上海市,"12,027,813"
854239,其他集成电路,334,爱沙尼亚,31,上海市,"496,329"
854239,其他集成电路,335,拉脱维亚,31,上海市,"115,841"
854239,其他集成电路,336,立陶宛,31,上海市,"2,390,645"
854239,其他集成电路,340,白俄罗斯,31,上海市,"2,871,175"
854239,其他集成电路,344,俄罗斯,31,上海市,"5,174,148"
854239,其他集成电路,347,乌克兰,31,上海市,"56,989"
854239,其他集成电路,350,斯洛文尼亚,31,上海市,"26,387"
854239,其他集成电路,351,克罗地亚,31,上海市,356
854239,其他集成电路,352,捷克,31,上海市,"16,065,969"
854239,其他集成电路,353,斯洛伐克,31,上海市,"2,559,508"
854239,其他集成电路,354,北马其顿,31,上海市,"4,478,803"
854239,其他集成电路,358,塞尔维亚,31,上海市,"4,396,199"
854239,其他集成电路,359,黑山,31,上海市,199
854239,其他集成电路,410,巴西,31,上海市,"25,077,127"
854239,其他集成电路,412,智利,31,上海市,"15,045"
854239,其他集成电路,413,哥伦比亚,31,上海市,"1,781"
854239,其他集成电路,415,哥斯达黎加,31,上海市,"448,518"
854239,其他集成电路,418,多米尼加,31,上海市,"84,474"
854239,其他集成电路,423,危地马拉,31,上海市,"1,006"
854239,其他集成电路,426,洪都拉斯,31,上海市,"11,183,802"
854239,其他集成电路,429,墨西哥,31,上海市,"461,909,076"
854239,其他集成电路,433,巴拉圭,31,上海市,"6,488"
854239,其他集成电路,435,波多黎各,31,上海市,"30,735"
854239,其他集成电路,444,乌拉圭,31,上海市,"1,507"
854239,其他集成电路,501,加拿大,31,上海市,"18,208,584"
854239,其他集成电路,502,美国,31,上海市,"678,876,675"
854239,其他集成电路,601,澳大利亚,31,上海市,"1,494,198"
854239,其他集成电路,609,新西兰,31,上海市,"346,627"
